airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-15,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6979
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,5963
Indigo,2019-06-12,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Indigo,2019-04-12,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4823
Indigo,2019-05-18,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6704
Indigo,2019-03-03,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,6144
Multiple Carriers,2019-06-12,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,In-flight meal not included,9663
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,12898
Indigo,2019-06-09,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Indigo,2019-03-21,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4148
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,16289
Vistara,2019-06-15,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,10262
Indigo,2019-04-01,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Multiple Carriers,2019-05-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Air India,2019-04-12,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5911
Spicejet,2019-06-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Multiple Carriers,2019-05-27,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7198
Jet Airways,2019-05-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-04-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Air Asia,2019-06-21,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air India,2019-06-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,6587
Air India,2019-05-15,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Goair,2019-06-12,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Indigo,2019-06-03,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3943
Indigo,2019-05-06,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Goair,2019-04-12,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4937
Indigo,2019-03-24,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6144
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:05:00,1815,2.0,No Info,7664
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2228
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,No Info,12284
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,7530
Indigo,2019-03-03,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Multiple Carriers,2019-03-09,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,16023
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,7064
Air India,2019-05-09,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,12592
Air India,2019-05-01,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,12927
Jet Airways,2019-04-24,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,05:05:00,730,1.0,No Info,16736
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No Info,12537
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,9187
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,19225
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Indigo,2019-03-12,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,6297
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Jet Airways,2019-06-12,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,9345
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,8452
Air India,2019-03-15,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,No Info,8032
Air India,2019-03-06,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,14594
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,9314
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Air India,2019-05-09,Delhi,Cochin,07:05:00,07:40:00,1475,2.0,No Info,13547
Jet Airways,2019-06-01,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Spicejet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,5830
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7485
Jet Airways,2019-04-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,9483
Goair,2019-06-06,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,6686
Jet Airways,2019-03-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Air India,2019-06-09,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13033
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,14151
Air India,2019-06-12,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8991
Indigo,2019-03-27,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No Info,6223
Goair,2019-03-24,Kolkata,Banglore,22:25:00,07:40:00,555,1.0,No Info,10091
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Air Asia,2019-05-01,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Vistara,2019-03-09,Banglore,New Delhi,16:10:00,18:50:00,160,0.0,No Info,7923
Air India,2019-03-21,Banglore,New Delhi,05:50:00,16:20:00,630,2.0,No Info,7664
Indigo,2019-03-03,Delhi,Cochin,06:40:00,22:20:00,940,1.0,No Info,11600
Multiple Carriers,2019-03-03,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,17073
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,12373
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8781
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,16:20:00,635,1.0,No Info,14781
Indigo,2019-05-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air India,2019-04-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5228
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Indigo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13727
Indigo,2019-06-15,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Vistara,2019-05-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-06-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Multiple Carriers,2019-03-03,Delhi,Cochin,17:50:00,01:35:00,465,2.0,No Info,24528
Multiple Carriers,2019-06-15,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,11789
Jet Airways,2019-03-27,Delhi,Cochin,17:30:00,19:45:00,1575,1.0,In-flight meal not included,5406
Multiple Carriers,2019-06-12,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,11789
Air India,2019-04-06,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No Info,54826
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,8586
Air India,2019-03-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,15385
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Air India,2019-03-21,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,7934
Indigo,2019-04-24,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,In-flight meal not included,9663
Air Asia,2019-05-09,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6751
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14571
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No Info,7695
Spicejet,2019-03-15,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,2647
Air India,2019-03-09,Banglore,New Delhi,11:05:00,09:15:00,1330,1.0,No Info,11077
Indigo,2019-03-09,Banglore,New Delhi,16:55:00,21:50:00,295,1.0,No Info,4259
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14231
Air India,2019-03-21,Banglore,New Delhi,06:55:00,23:20:00,985,1.0,No Info,6987
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,13941
Air India,2019-06-12,Kolkata,Banglore,09:10:00,11:05:00,1555,2.0,No Info,6117
Indigo,2019-06-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Indigo,2019-04-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Indigo,2019-05-24,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,5192
Jet Airways,2019-06-27,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,10197
Indigo,2019-06-12,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,5930
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,6224
Jet Airways,2019-03-21,Banglore,New Delhi,16:55:00,11:25:00,1110,1.0,In-flight meal not included,7832
Jet Airways,2019-06-24,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Air India,2019-05-15,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Air India,2019-06-24,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2754
Jet Airways,2019-06-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Spicejet,2019-05-24,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6643
Air India,2019-06-06,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10939
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Indigo,2019-06-06,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Indigo,2019-06-15,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5883
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,In-flight meal not included,10703
Multiple Carriers,2019-05-27,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,8625
Air Asia,2019-05-01,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air India,2019-03-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,4937
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Air Asia,2019-05-27,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,3383
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Vistara,2019-04-21,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Air India,2019-03-21,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,5704
Air India,2019-05-15,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No Info,14960
Goair,2019-05-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Air India,2019-03-03,Banglore,New Delhi,12:00:00,10:35:00,1355,3.0,No Info,12358
Air India,2019-03-15,Banglore,New Delhi,09:30:00,16:20:00,410,1.0,No Info,8714
Jet Airways,2019-03-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,10875
Jet Airways,2019-03-06,Mumbai,Hyderabad,19:50:00,16:50:00,1260,2.0,No Info,24210
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13797
Jet Airways,2019-06-01,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Spicejet,2019-04-27,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
Vistara,2019-04-06,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5613
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Air India,2019-05-09,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,12681
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,15029
Indigo,2019-05-09,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6818
Indigo,2019-05-01,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4077
Air India,2019-03-01,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,6535
Air India,2019-04-03,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,5117
Indigo,2019-03-03,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,14871
Air Asia,2019-03-27,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6151
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,12242
Air India,2019-05-15,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,9941
Indigo,2019-04-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,14502
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14231
Indigo,2019-06-06,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,19:15:00,555,1.0,In-flight meal not included,11446
Air India,2019-06-27,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Indigo,2019-06-01,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Air India,2019-03-03,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,12760
Vistara,2019-04-09,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,9794
Jet Airways,2019-04-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-05-21,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,7318
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,13022
Air Asia,2019-03-09,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,4482
Jet Airways,2019-05-21,Banglore,Delhi,15:50:00,18:45:00,175,0.0,No Info,7229
Air India,2019-05-18,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8879
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6253
Air India,2019-05-18,Delhi,Cochin,10:00:00,07:40:00,1300,1.0,No Info,8372
Jet Airways,2019-06-27,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,16:10:00,490,1.0,No Info,22270
Indigo,2019-06-03,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Air India,2019-05-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,13039
Indigo,2019-06-09,Banglore,Delhi,16:55:00,19:45:00,170,0.0,No Info,4823
Air India,2019-04-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,2575
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No Info,13817
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,13555
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3717
Air India,2019-06-15,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,10454
Air India,2019-03-24,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,5567
Air India,2019-06-06,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Jet Airways,2019-03-03,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,In-flight meal not included,13502
Air India,2019-03-27,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,6681
Air India,2019-03-01,Banglore,New Delhi,05:50:00,08:50:00,1620,3.0,No Info,13081
Spicejet,2019-05-24,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Goair,2019-05-09,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,10188
Indigo,2019-03-27,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,10141
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,14151
Air India,2019-06-09,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7662
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,8055
Indigo,2019-03-24,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,4238
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,8614
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,No Info,13817
Indigo,2019-03-24,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,7303
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13731
Spicejet,2019-05-01,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
