airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-15,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6171
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,15353
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,12:25:00,325,1.0,No Info,26890
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,In-flight meal not included,11150
Air India,2019-05-24,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Indigo,2019-03-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,7295
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,06:35:00,830,1.0,No Info,11410
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,10953
Air India,2019-06-24,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13381
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No Info,14714
Indigo,2019-06-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,No Info,12242
Air India,2019-04-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,2050
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Indigo,2019-06-06,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,5883
Multiple Carriers,2019-06-09,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10877
Indigo,2019-05-06,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,8066
Indigo,2019-05-24,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-03-21,Delhi,Cochin,16:10:00,18:50:00,1600,2.0,In-flight meal not included,8728
Spicejet,2019-03-09,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,4622
Vistara,2019-06-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Air Asia,2019-03-12,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4082
Air India,2019-03-03,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,22096
Air Asia,2019-06-01,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,11410
Spicejet,2019-03-06,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No Info,7185
Multiple Carriers,2019-04-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,12537
Air India,2019-05-18,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13243
Indigo,2019-04-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4423
Jet Airways,2019-06-09,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,13014
Indigo,2019-03-03,Banglore,New Delhi,12:10:00,17:05:00,295,1.0,No Info,8738
Jet Airways,2019-03-03,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,No Info,19266
Multiple Carriers,2019-06-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,No Info,12284
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3257
Goair,2019-04-06,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Indigo,2019-05-18,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Indigo,2019-04-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-05-03,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Air India,2019-03-12,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,11707
Spicejet,2019-04-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,4812
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8452
Air India,2019-05-15,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,11491
Indigo,2019-06-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Air India,2019-03-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,6092
Air India,2019-06-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-03-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7618
Air Asia,2019-03-01,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,5964
Air India,2019-05-15,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,10671
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,22:55:00,850,1.0,No Info,12395
Multiple Carriers,2019-04-24,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Indigo,2019-04-06,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-05-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Indigo,2019-04-03,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Spicejet,2019-04-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-03-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3384
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,12898
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,10262
Jet Airways,2019-06-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,7229
Vistara,2019-06-09,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,No Info,14815
Air Asia,2019-06-15,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4107
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,No Info,14571
Jet Airways,2019-05-06,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,15554
Indigo,2019-06-15,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-06-09,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Indigo,2019-05-18,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14571
Jet Airways,2019-04-21,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,12819
Spicejet,2019-06-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Air India,2019-05-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,8273
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,16704
Indigo,2019-03-09,Delhi,Cochin,06:40:00,12:00:00,320,1.0,No Info,5647
Indigo,2019-05-06,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Multiple Carriers,2019-05-27,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Indigo,2019-03-21,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,4862
Air India,2019-06-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Air India,2019-03-12,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,12725
Air Asia,2019-04-27,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-03-09,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,8147
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,04:25:00,2045,2.0,No Info,13082
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,10844
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,9187
Air India,2019-05-27,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Indigo,2019-04-01,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Air India,2019-06-01,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,14667
Jet Airways,2019-04-01,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,5406
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,No Info,14388
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1.0,No Info,12327
Jet Airways,2019-04-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Indigo,2019-06-01,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6628
Indigo,2019-05-01,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Spicejet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Air India,2019-04-01,Kolkata,Banglore,16:45:00,23:15:00,1830,3.0,No Info,8607
Jet Airways,2019-03-09,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,16289
Indigo,2019-05-15,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,7191
Air India,2019-06-01,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Indigo,2019-04-03,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Air India,2019-03-24,Kolkata,Banglore,12:00:00,23:15:00,2115,3.0,No Info,14221
Indigo,2019-05-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Air Asia,2019-03-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4384
Air India,2019-06-27,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Vistara,2019-06-12,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,09:30:00,1165,1.0,No Info,25735
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,5170
Indigo,2019-04-15,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6287
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,11269
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,12:25:00,325,1.0,No Info,12284
Air India,2019-06-06,Kolkata,Banglore,16:50:00,11:10:00,1100,1.0,No Info,8366
Jet Airways,2019-03-12,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,No Info,11297
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,04:25:00,830,2.0,In-flight meal not included,10919
Indigo,2019-03-06,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,13790
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,3383
Air India,2019-03-09,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,12415
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,8283
Air Asia,2019-06-12,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,3807
Spicejet,2019-06-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7740
Air India,2019-05-18,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,10975
Jet Airways,2019-03-09,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,In-flight meal not included,13764
Jet Airways,2019-03-21,Delhi,Cochin,09:40:00,18:50:00,550,2.0,No Info,11702
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,14151
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,12242
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,15147
Vistara,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Spicejet,2019-05-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Indigo,2019-03-09,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4148
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,13899
Indigo,2019-06-03,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,5224
Jet Airways,2019-06-24,Delhi,Cochin,17:35:00,19:00:00,1525,2.0,No Info,13922
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Air India,2019-03-12,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5747
Spicejet,2019-04-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Jet Airways,2019-03-27,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,6645
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,7303
Spicejet,2019-06-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Indigo,2019-05-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14571
Air India,2019-05-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,14424
Air Asia,2019-05-09,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Air India,2019-05-09,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No Info,14687
Air India,2019-05-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Air India,2019-03-21,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,6482
Indigo,2019-04-18,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4174
Spicejet,2019-06-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3919
Jet Airways,2019-06-24,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Indigo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Air India,2019-05-09,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13033
Jet Airways,2019-03-01,Banglore,New Delhi,18:40:00,09:00:00,860,1.0,No Info,31825
Indigo,2019-05-03,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,3943
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,12373
Indigo,2019-03-06,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,14871
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,No Info,14388
Indigo,2019-05-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13941
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,9555
Air India,2019-03-12,Mumbai,Hyderabad,16:50:00,12:25:00,1175,3.0,No Info,14260
Air India,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,9929
Jet Airways,2019-04-06,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,5177
Indigo,2019-05-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Multiple Carriers,2019-06-09,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,11200
Jet Airways,2019-05-09,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Vistara,2019-06-01,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Air India,2019-03-03,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,10283
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,9899
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Indigo,2019-06-12,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-05-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Jet Airways,2019-05-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No Info,7450
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,8505
Air India,2019-04-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,8052
Indigo,2019-06-01,Kolkata,Banglore,09:35:00,12:10:00,155,0.0,No Info,4804
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,04:25:00,385,1.0,No Info,12242
Multiple Carriers,2019-06-03,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7618
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,18:25:00,685,1.0,No Info,26890
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,9314
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13727
Multiple Carriers,2019-06-24,Delhi,Cochin,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797
Multiple Carriers,2019-06-06,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7038
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,19:45:00,2300,2.0,No Info,16914
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,16:10:00,490,1.0,In-flight meal not included,9134
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,9794
Air India,2019-06-12,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No Info,10975
Indigo,2019-03-18,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,4332
Indigo,2019-05-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-05-18,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,19360
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,In-flight meal not included,10031
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,01:30:00,835,3.0,No Info,15419
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Indigo,2019-03-21,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,3384
Indigo,2019-05-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6442
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Air India,2019-05-21,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,8018
Jet Airways,2019-04-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Air India,2019-05-24,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,10413
Indigo,2019-06-12,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,12032
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1.0,In-flight meal not included,10661
Goair,2019-06-24,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5281
